Shake It Off | Taylor Swift  
Anti-Hero | Taylor Swift  
Blank Space | Taylor Swift  
bad guy | Billie Eilish  
Happier Than Ever | Billie Eilish  
Lovely | Billie Eilish  
Viva La Vida | Coldplay  
Yellow | Coldplay  
Something Just Like This | Coldplay  
Numb | Linkin Park  
In The End | Linkin Park  
Crawling | Linkin Park  
Uptown Funk | Mark Ronson  
Shape of You | Ed Sheeran  
Thinking Out Loud | Ed Sheeran  
Blinding Lights | The Weeknd  
Save Your Tears | The Weeknd  
Starboy | The Weeknd  
Levitating | Dua Lipa  
Don't Start Now | Dua Lipa  
Someone Like You | Adele  
Hello | Adele  
Rolling in the Deep | Adele  
Watermelon Sugar | Harry Styles  
As It Was | Harry Styles  
Stay | The Kid LAROI  
Sunflower | Post Malone  
Circles | Post Malone  
Flowers | Miley Cyrus  
Dance Monkey | Tones and I  
